Language	Language (local)	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Images	Depth
Armenian	Հայերեն	hy	240,184	802,223	5,737,626	11	74,248	494	7,108	39.16
Danish	dansk	da	237,369	799,566	9,497,168	24	323,146	1,008	0	66.63
Min Nan	Bân-lâm-gú	zh-min-nan	226,571	715,731	1,889,648	5	34,525	71	362	12.31
Slovak	slovenčina	sk	225,840	491,164	6,643,970	8	157,931	527	0	18.67
Hebrew	עברית	he	224,304	932,737	22,953,142	39	399,306	3,122	52,154	245.47
Minangkabau	Baso Minangkabau	min	222,169	317,782	1,547,386	3	7,340	23	104	0.9
Kazakh	қазақша	kk	221,475	520,593	2,615,336	16	77,629	168	9,567	9.16
Croatian	hrvatski	hr	190,281	489,057	5,063,436	20	198,076	513	15,636	25.53
Lithuanian	lietuvių	lt	187,848	444,511	5,365,951	13	121,411	331	20,664	22.54
Estonian	eesti	et	175,237	437,382	4,984,009	33	114,308	879	2,837	25.5
Chechen	нохчийн	ce	164,813	189,635	2,629,267	4	17,684	31	281	0.31
Slovenian	slovenščina	sl	161,080	381,299	4,977,694	22	167,690	377	8,014	24.4
Belarusian	беларуская	be	154,002	504,713	3,135,363	9	77,257	216	2,580	32.22
Galician	galego	gl	147,794	363,491	4,722,849	11	87,992	351	9,661	27.67
Greek	Ελληνικά	el	146,558	447,202	7,008,387	22	244,965	925	16,309	65.95
Urdu	اردو	ur	138,665	743,812	3,434,321	8	78,407	191	4,768	87.94
Norwegian (Nynorsk)	norsk nynorsk	nn	137,853	327,762	3,034,355	23	88,917	138	16	17.57
Azerbaijani	azərbaycanca	az	134,396	346,552	4,284,770	16	153,841	622	20,513	30.81
Simple English	Simple English	simple	133,659	458,667	6,080,208	15	715,832	1,012	36	78.38
Uzbek	oʻzbekcha/ўзбекча	uz	129,168	619,431	1,983,384	8	38,622	90	372	46.13
Latin	Latina	la	128,445	249,927	3,341,963	17	106,916	148	0	11.96
Hindi	हिन्दी	hi	124,701	747,152	3,784,156	11	348,818	1,134	3,332	126.19
Thai	ไทย	th	123,971	717,232	7,587,946	15	317,880	1,213	36,139	242.28
Georgian	ქართული	ka	122,174	345,570	3,478,568	3	100,598	250	13,878	33.66
Volapük	Volapük	vo	121,028	249,361	3,184,998	2	24,831	33	0	14.36
Tamil	தமிழ்	ta	116,041	337,293	2,516,036	35	133,124	322	7,775	27.12
Welsh	Cymraeg	cy	100,518	215,280	5,254,020	12	49,269	147	17,033	31.81
